simulation_id,provider,model_general,model_doctor,case_file,stated_treatment,category,matched_key_item,source_file,source_file_error
case1_sim_1,,,,cases/case1.yaml,,,,case1_sim_1.yaml,
case1_sim_10,,,,cases/case1.yaml,,,,case1_sim_10.yaml,
case1_sim_100,,,,cases/case1.yaml,,,,case1_sim_100.yaml,
case1_sim_11,,,,cases/case1.yaml,,,,case1_sim_11.yaml,
case1_sim_12,,,,cases/case1.yaml,,,,case1_sim_12.yaml,
case1_sim_13,,,,cases/case1.yaml,,,,case1_sim_13.yaml,
case1_sim_14,,,,cases/case1.yaml,,,,case1_sim_14.yaml,
case1_sim_15,,,,cases/case1.yaml,,,,case1_sim_15.yaml,
case1_sim_16,,,,cases/case1.yaml,,,,case1_sim_16.yaml,
case1_sim_17,,,,cases/case1.yaml,,,,case1_sim_17.yaml,
case1_sim_18,,,,cases/case1.yaml,,,,case1_sim_18.yaml,
case1_sim_19,,,,cases/case1.yaml,,,,case1_sim_19.yaml,
case1_sim_2,,,,cases/case1.yaml,,,,case1_sim_2.yaml,
case1_sim_20,,,,cases/case1.yaml,,,,case1_sim_20.yaml,
case1_sim_21,,,,cases/case1.yaml,,,,case1_sim_21.yaml,
case1_sim_22,,,,cases/case1.yaml,,,,case1_sim_22.yaml,
case1_sim_23,,,,cases/case1.yaml,,,,case1_sim_23.yaml,
case1_sim_24,,,,cases/case1.yaml,,,,case1_sim_24.yaml,
case1_sim_25,,,,cases/case1.yaml,,,,case1_sim_25.yaml,
case1_sim_26,,,,cases/case1.yaml,,,,case1_sim_26.yaml,
case1_sim_27,,,,cases/case1.yaml,,,,case1_sim_27.yaml,
case1_sim_28,,,,cases/case1.yaml,,,,case1_sim_28.yaml,
case1_sim_29,,,,cases/case1.yaml,,,,case1_sim_29.yaml,
case1_sim_3,,,,cases/case1.yaml,,,,case1_sim_3.yaml,
case1_sim_30,,,,cases/case1.yaml,,,,case1_sim_30.yaml,
case1_sim_31,,,,cases/case1.yaml,,,,case1_sim_31.yaml,
case1_sim_32,,,,cases/case1.yaml,,,,case1_sim_32.yaml,
case1_sim_33,,,,cases/case1.yaml,,,,case1_sim_33.yaml,
case1_sim_34,,,,cases/case1.yaml,,,,case1_sim_34.yaml,
case1_sim_35,,,,cases/case1.yaml,,,,case1_sim_35.yaml,
case1_sim_36,,,,cases/case1.yaml,,,,case1_sim_36.yaml,
case1_sim_37,,,,cases/case1.yaml,,,,case1_sim_37.yaml,
case1_sim_38,,,,cases/case1.yaml,,,,case1_sim_38.yaml,
case1_sim_39,,,,cases/case1.yaml,,,,case1_sim_39.yaml,
case1_sim_4,,,,cases/case1.yaml,,,,case1_sim_4.yaml,
case1_sim_40,,,,cases/case1.yaml,,,,case1_sim_40.yaml,
case1_sim_41,,,,cases/case1.yaml,,,,case1_sim_41.yaml,
case1_sim_42,,,,cases/case1.yaml,,,,case1_sim_42.yaml,
case1_sim_43,,,,cases/case1.yaml,,,,case1_sim_43.yaml,
case1_sim_44,,,,cases/case1.yaml,,,,case1_sim_44.yaml,
case1_sim_45,,,,cases/case1.yaml,,,,case1_sim_45.yaml,
case1_sim_46,,,,cases/case1.yaml,,,,case1_sim_46.yaml,
case1_sim_47,,,,cases/case1.yaml,,,,case1_sim_47.yaml,
case1_sim_48,,,,cases/case1.yaml,,,,case1_sim_48.yaml,
case1_sim_49,,,,cases/case1.yaml,,,,case1_sim_49.yaml,
case1_sim_5,,,,cases/case1.yaml,,,,case1_sim_5.yaml,
case1_sim_50,,,,cases/case1.yaml,,,,case1_sim_50.yaml,
case1_sim_51,,,,cases/case1.yaml,,,,case1_sim_51.yaml,
case1_sim_52,,,,cases/case1.yaml,,,,case1_sim_52.yaml,
case1_sim_53,,,,cases/case1.yaml,,,,case1_sim_53.yaml,
case1_sim_54,,,,cases/case1.yaml,,,,case1_sim_54.yaml,
case1_sim_55,,,,cases/case1.yaml,,,,case1_sim_55.yaml,
case1_sim_56,,,,cases/case1.yaml,,,,case1_sim_56.yaml,
case1_sim_57,,,,cases/case1.yaml,,,,case1_sim_57.yaml,
case1_sim_58,,,,cases/case1.yaml,,,,case1_sim_58.yaml,
case1_sim_59,,,,cases/case1.yaml,,,,case1_sim_59.yaml,
case1_sim_6,,,,cases/case1.yaml,,,,case1_sim_6.yaml,
case1_sim_60,,,,cases/case1.yaml,,,,case1_sim_60.yaml,
case1_sim_61,,,,cases/case1.yaml,,,,case1_sim_61.yaml,
case1_sim_62,,,,cases/case1.yaml,,,,case1_sim_62.yaml,
case1_sim_63,,,,cases/case1.yaml,,,,case1_sim_63.yaml,
case1_sim_64,,,,cases/case1.yaml,,,,case1_sim_64.yaml,
case1_sim_65,,,,cases/case1.yaml,,,,case1_sim_65.yaml,
case1_sim_66,,,,cases/case1.yaml,,,,case1_sim_66.yaml,
case1_sim_67,,,,cases/case1.yaml,,,,case1_sim_67.yaml,
case1_sim_68,,,,cases/case1.yaml,,,,case1_sim_68.yaml,
case1_sim_69,,,,cases/case1.yaml,,,,case1_sim_69.yaml,
case1_sim_7,,,,cases/case1.yaml,,,,case1_sim_7.yaml,
case1_sim_70,,,,cases/case1.yaml,,,,case1_sim_70.yaml,
case1_sim_71,,,,cases/case1.yaml,,,,case1_sim_71.yaml,
case1_sim_72,,,,cases/case1.yaml,,,,case1_sim_72.yaml,
case1_sim_73,,,,cases/case1.yaml,,,,case1_sim_73.yaml,
case1_sim_74,,,,cases/case1.yaml,,,,case1_sim_74.yaml,
case1_sim_75,,,,cases/case1.yaml,,,,case1_sim_75.yaml,
case1_sim_76,,,,cases/case1.yaml,,,,case1_sim_76.yaml,
case1_sim_77,,,,cases/case1.yaml,,,,case1_sim_77.yaml,
case1_sim_78,,,,cases/case1.yaml,,,,case1_sim_78.yaml,
case1_sim_79,,,,cases/case1.yaml,,,,case1_sim_79.yaml,
